"fila","decil","tamanio_localidad","marginacion","n","gasto_prom","ingreso_prom","rubro","prop_ingreso"
"440","5","De 15 mil a 100 mil","Muy alto",9,322.381982265433,22842.9040976059,"TRANSPORTE",0.0141130033592892
"441","5","De 2500 a 15 mil","Muy bajo",61,1487.10291754981,22953.2131125139,"TRANSPORTE",0.0647884420477523
"442","5","De 2500 a 15 mil","Bajo",75,1253.29999274675,22992.1086753979,"TRANSPORTE",0.0545100064739955
"443","5","De 2500 a 15 mil","Medio",77,933.812895440583,23041.0946056033,"TRANSPORTE",0.040528148138131
"444","5","De 2500 a 15 mil","Alto",78,945.541001894385,23000.8360262877,"TRANSPORTE",0.0411089840740451
"445","5","De 2500 a 15 mil","Muy alto",17,648.043457417642,22546.3276996424,"TRANSPORTE",0.0287427498637802
"446","5","Menos de 2500","Muy bajo",86,1591.45474452209,23091.2663493191,"TRANSPORTE",0.0689202021425309
"447","5","Menos de 2500","Bajo",87,1167.64271707899,22846.8497170179,"TRANSPORTE",0.0511073837987058
"448","5","Menos de 2500","Medio",124,1113.38563828343,22677.4680279826,"TRANSPORTE",0.0490965586153436
"449","5","Menos de 2500","Alto",139,742.982700592123,22738.3568663145,"TRANSPORTE",0.0326753030115736
"450","5","Menos de 2500","Muy alto",54,400.270945782629,23182.0056755073,"TRANSPORTE",0.0172664501676631
"451","6","100 mil o más","Muy bajo",1331,2267.99543688072,27862.3213204827,"TRANSPORTE",0.0814000890591059
"452","6","100 mil o más","Bajo",103,2329.19293181208,27260.6492557842,"TRANSPORTE",0.0854415795441068
"453","6","100 mil o más","Medio",46,1895.07823164643,27940.4203241701,"TRANSPORTE",0.0678256880053832
"454","6","De 15 mil a 100 mil","Muy bajo",175,1967.46366741965,27843.4029110195,"TRANSPORTE",0.0706617532960021
"455","6","De 15 mil a 100 mil","Bajo",150,1804.88367434847,27565.5432724353,"TRANSPORTE",0.0654760784690682
"456","6","De 15 mil a 100 mil","Medio",114,1746.60195741775,27761.03878357,"TRANSPORTE",0.0629155836362815
"457","6","De 15 mil a 100 mil","Alto",62,1486.57237986471,27395.7493803309,"TRANSPORTE",0.0542628843338744
"458","6","De 15 mil a 100 mil","Muy alto",4,440.513880428136,28256.2359330144,"TRANSPORTE",0.015589970351056
"459","6","De 2500 a 15 mil","Muy bajo",61,1795.89959950342,27772.8114282316,"TRANSPORTE",0.0646639467575781
"460","6","De 2500 a 15 mil","Bajo",80,1513.54753486935,27901.3130802853,"TRANSPORTE",0.0542464625415353
"461","6","De 2500 a 15 mil","Medio",67,1127.71899319265,27164.0365482373,"TRANSPORTE",0.0415151478385795
"462","6","De 2500 a 15 mil","Alto",74,1141.88243910386,27610.57326759,"TRANSPORTE",0.0413567088244501
"463","6","De 2500 a 15 mil","Muy alto",20,782.609577216311,27570.6187911482,"TRANSPORTE",0.0283856370125278
"464","6","Menos de 2500","Muy bajo",93,1748.09167667665,27709.6714871489,"TRANSPORTE",0.0630859762262922
"465","6","Menos de 2500","Bajo",68,1282.56648328446,27933.7963819232,"TRANSPORTE",0.0459145067769751
"466","6","Menos de 2500","Medio",94,1222.96921978925,27871.2400949352,"TRANSPORTE",0.0438792538697081
"467","6","Menos de 2500","Alto",90,816.109838716464,27715.249976999,"TRANSPORTE",0.0294462376992362
"468","6","Menos de 2500","Muy alto",30,439.66711030438,28103.2329346105,"TRANSPORTE",0.0156447164398267
"469","7","100 mil o más","Muy bajo",1483,3064.24925543529,34261.1826938121,"TRANSPORTE",0.0894379298817587
"470","7","100 mil o más","Bajo",105,3146.93212826415,34417.6012215345,"TRANSPORTE",0.0914338017925307
"471","7","100 mil o más","Medio",43,2560.40729456303,33914.1574247642,"TRANSPORTE",0.0754967096040374
"472","7","De 15 mil a 100 mil","Muy bajo",224,3017.82324378799,34291.4328051643,"TRANSPORTE",0.0880051662155541
"473","7","De 15 mil a 100 mil","Bajo",157,2768.44751696509,34466.3422290368,"TRANSPORTE",0.080323217896698
"474","7","De 15 mil a 100 mil","Medio",98,2679.05124364301,34627.3263434596,"TRANSPORTE",0.0773681229982987
"475","7","De 15 mil a 100 mil","Alto",62,2280.20103044421,33917.6377084172,"TRANSPORTE",0.0672275896702068
"476","7","De 15 mil a 100 mil","Muy alto",3,675.688730425067,33025.9483703704,"TRANSPORTE",0.0204593286117794
"477","7","De 2500 a 15 mil","Muy bajo",58,3269.65026687541,34543.8271720453,"TRANSPORTE",0.0946522297772896
"478","7","De 2500 a 15 mil","Bajo",75,2755.59452359518,34562.9261431757,"TRANSPORTE",0.0797268874799613
"479","7","De 2500 a 15 mil","Medio",57,2053.14746340483,34268.5896162515,"TRANSPORTE",0.0599133925964418
"480","7","De 2500 a 15 mil","Alto",59,2078.93371267752,33668.4658149794,"TRANSPORTE",0.0617472065434173
"481","7","De 2500 a 15 mil","Muy alto",16,1424.83444718615,34370.258410706,"TRANSPORTE",0.0414554476186985
"482","7","Menos de 2500","Muy bajo",77,3416.64965913524,34112.4284633449,"TRANSPORTE",0.100158499791551
"483","7","Menos de 2500","Bajo",61,2506.77947638695,34567.490506992,"TRANSPORTE",0.0725184107848357
"484","7","Menos de 2500","Medio",75,2390.29647237569,34610.3919728008,"TRANSPORTE",0.069062970285172
"485","7","Menos de 2500","Alto",80,1595.08877002629,34129.2538118102,"TRANSPORTE",0.0467367021506435
"486","7","Menos de 2500","Muy alto",19,859.3304931484,33559.4843137255,"TRANSPORTE",0.0256061888530553
"487","8","100 mil o más","Muy bajo",1479,3994.1085293372,43744.2975175058,"TRANSPORTE",0.0913058102656426
"488","8","100 mil o más","Bajo",81,4101.88186626036,42956.2823176583,"TRANSPORTE",0.0954896849761641
"489","8","100 mil o más","Medio",47,3337.37361458378,43681.8059041045,"TRANSPORTE",0.0764019148363596
"490","8","De 15 mil a 100 mil","Muy bajo",198,3427.39240698312,43126.2536991928,"TRANSPORTE",0.0794734555635023
"491","8","De 15 mil a 100 mil","Bajo",152,3144.17221690446,43351.3453136453,"TRANSPORTE",0.0725276734587241
"492","8","De 15 mil a 100 mil","Medio",97,3042.64337187668,43142.214816271,"TRANSPORTE",0.07052589638326
"493","8","De 15 mil a 100 mil","Alto",41,2589.66250388204,44267.9002941786,"TRANSPORTE",0.0584997817080244
"494","8","De 15 mil a 100 mil","Muy alto",4,767.391009011231,43702.4642583732,"TRANSPORTE",0.0175594448055456
"495","8","De 2500 a 15 mil","Muy bajo",54,4154.42717986912,42255.3315949245,"TRANSPORTE",0.0983172305851253
"496","8","De 2500 a 15 mil","Bajo",66,3501.26645083195,41249.5937066392,"TRANSPORTE",0.0848800227156762
"497","8","De 2500 a 15 mil","Medio",60,2608.7351642774,42479.157042666,"TRANSPORTE",0.0614121217531975
"498","8","De 2500 a 15 mil","Alto",48,2641.49924785426,43838.3855080636,"TRANSPORTE",0.0602553952943452
"499","8","De 2500 a 15 mil","Muy alto",9,1810.3988105337,42302.7767595172,"TRANSPORTE",0.0427962169203563
"500","8","Menos de 2500","Muy bajo",64,4006.10398638338,43580.4809483422,"TRANSPORTE",0.0919242720412375
"501","8","Menos de 2500","Bajo",74,2939.25929055927,42947.3186764055,"TRANSPORTE",0.0684387147124519
"502","8","Menos de 2500","Medio",62,2802.68016383767,42790.1859881599,"TRANSPORTE",0.0654982000922637
"503","8","Menos de 2500","Alto",54,1870.27998696307,42908.6577697827,"TRANSPORTE",0.0435874735816174
"504","8","Menos de 2500","Muy alto",22,1007.58569287509,42818.6274499482,"TRANSPORTE",0.0235314804065797
"505","9","100 mil o más","Muy bajo",1631,5846.50188474071,59691.0573082088,"TRANSPORTE",0.0979460265639605
"506","9","100 mil o más","Bajo",99,6004.25849385665,60475.0841048964,"TRANSPORTE",0.0992848308146546
"507","9","100 mil o más","Medio",43,4885.18551400642,57820.67203756,"TRANSPORTE",0.0844885633780429
"508","9","De 15 mil a 100 mil","Muy bajo",187,5874.31021580362,59384.7149791407,"TRANSPORTE",0.0989195657142922
"509","9","De 15 mil a 100 mil","Bajo",125,5388.89067292838,58653.9851945659,"TRANSPORTE",0.0918759510552003
"510","9","De 15 mil a 100 mil","Medio",86,5214.87735314174,58924.1098621347,"TRANSPORTE",0.0885015889988502
"511","9","De 15 mil a 100 mil","Alto",43,4438.49991392451,57843.694440239,"TRANSPORTE",0.076732649200167
"512","9","De 15 mil a 100 mil","Muy alto",3,1315.25437087678,62650.31,"TRANSPORTE",0.0209935812109594
"513","9","De 2500 a 15 mil","Muy bajo",42,6755.25009214549,58867.0841669751,"TRANSPORTE",0.114754283955774
"514","9","De 2500 a 15 mil","Bajo",52,5693.18692834296,60308.4799535354,"TRANSPORTE",0.0944011013497483
"515","9","De 2500 a 15 mil","Medio",37,4241.89850896664,59104.5880491758,"TRANSPORTE",0.0717693608732596
"516","9","De 2500 a 15 mil","Alto",44,4295.17410378736,56405.6375314511,"TRANSPORTE",0.0761479577532019
"517","9","De 2500 a 15 mil","Muy alto",15,2943.77448510842,58550.9958160301,"TRANSPORTE",0.0502771036441103
"518","9","Menos de 2500","Muy bajo",56,5851.52346079968,60456.0022428987,"TRANSPORTE",0.0967897850289466
"519","9","Menos de 2500","Bajo",35,4293.23471256827,59387.61015425,"TRANSPORTE",0.0722917575133478
"520","9","Menos de 2500","Medio",32,4093.74014966032,57732.6720632892,"TRANSPORTE",0.0709085514900916
"521","9","Menos de 2500","Alto",50,2731.82804543827,57563.4689818677,"TRANSPORTE",0.0474576687916217
"522","9","Menos de 2500","Muy alto",14,1471.73197225627,58582.9331858228,"TRANSPORTE",0.0251221967255889
"523","10","100 mil o más","Muy bajo",1722,9854.63212451402,128731.369458463,"TRANSPORTE",0.0765519093440059
"524","10","100 mil o más","Bajo",99,10120.5404195038,117325.112468943,"TRANSPORTE",0.0862606496301705
"525","10","100 mil o más","Medio",33,8234.2753067651,125107.670393822,"TRANSPORTE",0.0658175096766225
"526","10","De 15 mil a 100 mil","Muy bajo",151,9326.9843434312,133606.410632705,"TRANSPORTE",0.0698094073425251
"527","10","De 15 mil a 100 mil","Bajo",122,8556.25547310336,111043.866582914,"TRANSPORTE",0.0770529317503062
"528","10","De 15 mil a 100 mil","Medio",76,8279.96439390462,134245.438402788,"TRANSPORTE",0.0616778081431826
"529","10","De 15 mil a 100 mil","Alto",26,7047.26473105299,103548.737527488,"TRANSPORTE",0.0680574664580749
"530","10","De 15 mil a 100 mil","Muy alto",1,2088.30594123856,123389.01,"TRANSPORTE",0.0169245700345482
"531","10","De 2500 a 15 mil","Muy bajo",26,11434.850875243,103944.013880933,"TRANSPORTE",0.110009710499938
"532","10","De 2500 a 15 mil","Bajo",39,9637.05897520123,99205.7686233298,"TRANSPORTE",0.0971421229726244
"533","10","De 2500 a 15 mil","Medio",30,7180.41171181581,101128.465912641,"TRANSPORTE",0.0710028738893218
"534","10","De 2500 a 15 mil","Alto",25,7270.59319599084,104917.425538664,"TRANSPORTE",0.0692982424860541
"535","10","De 2500 a 15 mil","Muy alto",5,4983.03124046399,109072.866274062,"TRANSPORTE",0.0456853423833511
"536","10","Menos de 2500","Muy bajo",39,7464.1648439527,113401.495323467,"TRANSPORTE",0.0658206915408115
"537","10","Menos de 2500","Bajo",42,5476.42196480056,132499.138063408,"TRANSPORTE",0.0413317553973806
"538","10","Menos de 2500","Medio",34,5221.94801234836,115038.20061555,"TRANSPORTE",0.0453931649174501
"539","10","Menos de 2500","Alto",26,3484.70188864573,107131.252652092,"TRANSPORTE",0.0325274072913372
"540","10","Menos de 2500","Muy alto",3,1877.33162487,92007.8558091286,"TRANSPORTE",0.0204040362462586
"541","1","100 mil o más","Muy bajo",431,584.738582502525,7023.87328834629,"VIVIENDA",0.0832501610575319
"542","1","100 mil o más","Bajo",59,502.778522721879,5957.20544233532,"VIVIENDA",0.0843983857177136
"543","1","100 mil o más","Medio",92,566.494009889895,6834.84765741627,"VIVIENDA",0.0828831948105253
"544","1","De 15 mil a 100 mil","Muy bajo",89,623.226058165791,6616.99354063579,"VIVIENDA",0.0941856833225666
"545","1","De 15 mil a 100 mil","Bajo",88,593.808167969222,6756.55020545886,"VIVIENDA",0.0878862955076488
"546","1","De 15 mil a 100 mil","Medio",81,560.169862569174,6636.2430995281,"VIVIENDA",0.084410690531968
"547","1","De 15 mil a 100 mil","Alto",123,417.227613757563,7079.54975684921,"VIVIENDA",0.0589342017624652
"548","1","De 15 mil a 100 mil","Muy alto",49,290.346268332928,6001.2096680791,"VIVIENDA",0.0483812905050297
"549","1","De 2500 a 15 mil","Muy bajo",36,327.783807014174,7150.98644546082,"VIVIENDA",0.045837565140714
"550","1","De 2500 a 15 mil","Bajo",61,428.961248002381,6781.63520983796,"VIVIENDA",0.0632533651146699
"551","1","De 2500 a 15 mil","Medio",88,321.735637068272,6727.00920001604,"VIVIENDA",0.0478274412152588
"552","1","De 2500 a 15 mil","Alto",170,241.459478788421,6764.65228144605,"VIVIENDA",0.0356942927355913
"553","1","De 2500 a 15 mil","Muy alto",93,202.675944836124,5862.44868842607,"VIVIENDA",0.0345718923282444
"554","1","Menos de 2500","Muy bajo",64,255.683358475039,6479.50237467619,"VIVIENDA",0.039460338725135
"555","1","Menos de 2500","Bajo",140,249.69074740676,6485.37023565922,"VIVIENDA",0.038500615744936
"556","1","Menos de 2500","Medio",263,246.932408192013,6406.52806754724,"VIVIENDA",0.0385438736221055
"557","1","Menos de 2500","Alto",620,149.150134884552,6228.84676040301,"VIVIENDA",0.0239450640899861
"558","1","Menos de 2500","Muy alto",671,82.0751853372951,5744.24406355316,"VIVIENDA",0.0142882482758796
"559","2","100 mil o más","Muy bajo",700,867.843815728178,11266.0272977433,"VIVIENDA",0.0770319290724614
"560","2","100 mil o más","Bajo",78,645.285472222398,11210.7545719358,"VIVIENDA",0.057559503963967
"561","2","100 mil o más","Medio",61,779.548356419033,11300.2761040575,"VIVIENDA",0.0689848946380279
"562","2","De 15 mil a 100 mil","Muy bajo",125,806.568544008332,11270.814530134,"VIVIENDA",0.0715625780063957
"563","2","De 15 mil a 100 mil","Bajo",136,664.564581869063,11317.13165387,"VIVIENDA",0.0587219979580081
"564","2","De 15 mil a 100 mil","Medio",128,672.176511800345,11331.8299526236,"VIVIENDA",0.0593175607656128
"565","2","De 15 mil a 100 mil","Alto",121,544.508561696474,10987.6868584801,"VIVIENDA",0.0495562504383015
"566","2","De 15 mil a 100 mil","Muy alto",20,344.66425685966,10847.0223157895,"VIVIENDA",0.031775011318816
"567","2","De 2500 a 15 mil","Muy bajo",48,484.467061678784,11456.3767700261,"VIVIENDA",0.0422879826147407
"568","2","De 2500 a 15 mil","Bajo",99,548.264552666789,10971.9937112606,"VIVIENDA",0.0499694556062406
"569","2","De 2500 a 15 mil","Medio",129,440.903802441711,11099.0332099448,"VIVIENDA",0.0397245232176313
"570","2","De 2500 a 15 mil","Alto",151,359.879419244574,11144.1280776753,"VIVIENDA",0.0322931876532818
"571","2","De 2500 a 15 mil","Muy alto",46,274.766187965618,11011.9222354344,"VIVIENDA",0.0249517007195591
"572","2","Menos de 2500","Muy bajo",57,416.808003106328,11232.7869648457,"VIVIENDA",0.0371063747946771
"573","2","Menos de 2500","Bajo",151,351.990857960842,11025.375921108,"VIVIENDA",0.0319255198624982
"574","2","Menos de 2500","Medio",255,373.232621034516,11152.2924019506,"VIVIENDA",0.0334668969914415
"575","2","Menos de 2500","Alto",410,245.184622908104,10940.1713138121,"VIVIENDA",0.0224114061722741
"576","2","Menos de 2500","Muy alto",255,122.724078852558,10904.5170574151,"VIVIENDA",0.0112544258683244
"577","3","100 mil o más","Muy bajo",937,1005.3430123147,14910.6500758462,"VIVIENDA",0.0674244923729553
"578","3","100 mil o más","Bajo",87,816.407710056863,14774.1055666619,"VIVIENDA",0.0552593662183588
"579","3","100 mil o más","Medio",58,993.972318188497,14919.4526612513,"VIVIENDA",0.0666225726075081
"580","3","De 15 mil a 100 mil","Muy bajo",156,928.510495085062,14918.3825600534,"VIVIENDA",0.0622393541221628
"581","3","De 15 mil a 100 mil","Bajo",150,835.536155079544,14959.9281198251,"VIVIENDA",0.055851615621888
"582","3","De 15 mil a 100 mil","Medio",105,851.701491386145,14860.157003881,"VIVIENDA",0.0573144342394033
"583","3","De 15 mil a 100 mil","Alto",80,666.700218585865,15035.2717049243,"VIVIENDA",0.044342412406655
"584","3","De 15 mil a 100 mil","Muy alto",11,435.21920373988,15167.0942071197,"VIVIENDA",0.0286949627790654
"585","3","De 2500 a 15 mil","Muy bajo",51,590.223872694804,15048.141404043,"VIVIENDA",0.0392223768269635
"586","3","De 2500 a 15 mil","Bajo",90,729.499843998667,14910.5774570967,"VIVIENDA",0.0489249893974737
"587","3","De 2500 a 15 mil","Medio",110,591.227871309481,15150.2169929536,"VIVIENDA",0.0390243830556661
"588","3","De 2500 a 15 mil","Alto",145,466.326263219526,14858.9647095984,"VIVIENDA",0.0313834962484495
"589","3","De 2500 a 15 mil","Muy alto",31,367.182581386087,14817.5046621813,"VIVIENDA",0.0247803250113528
"590","3","Menos de 2500","Muy bajo",89,473.660023020993,14834.7904107529,"VIVIENDA",0.0319289999997347
"591","3","Menos de 2500","Bajo",125,436.862317857872,14803.6316419215,"VIVIENDA",0.0295104828615668
"592","3","Menos de 2500","Medio",222,466.840812120007,14736.6209665568,"VIVIENDA",0.0316789590489878
"593","3","Menos de 2500","Alto",260,296.349541810709,14669.2680727298,"VIVIENDA",0.0202020673656938
"594","3","Menos de 2500","Muy alto",132,152.977207769042,14671.9221088686,"VIVIENDA",0.0104265280740942
"595","4","100 mil o más","Muy bajo",1075,1187.38022339205,18739.8613218548,"VIVIENDA",0.0633612065211658
"596","4","100 mil o más","Bajo",105,970.89474509735,18811.6044584986,"VIVIENDA",0.0516114798840949
"597","4","100 mil o más","Medio",40,1171.16610191234,18721.4658619134,"VIVIENDA",0.062557393237831
"598","4","De 15 mil a 100 mil","Muy bajo",173,1080.28433654245,18737.0497043727,"VIVIENDA",0.0576549859015607
"599","4","De 15 mil a 100 mil","Bajo",185,978.827167945763,18609.2773386727,"VIVIENDA",0.0525988811995198
"600","4","De 15 mil a 100 mil","Medio",102,988.569771556963,18782.7978122765,"VIVIENDA",0.0526316569787505
"601","4","De 15 mil a 100 mil","Alto",102,766.850941926162,18705.0980062611,"VIVIENDA",0.040996895160318
"602","4","De 15 mil a 100 mil","Muy alto",8,484.322000654987,18491.9747325103,"VIVIENDA",0.0261909291820258
"603","4","De 2500 a 15 mil","Muy bajo",61,762.175217244339,18511.9156651859,"VIVIENDA",0.0411721418263432
"604","4","De 2500 a 15 mil","Bajo",107,948.533689938566,18773.2090874119,"VIVIENDA",0.0505259215684436
"605","4","De 2500 a 15 mil","Medio",99,761.660805342266,18619.7053240269,"VIVIENDA",0.0409061686040443
"606","4","De 2500 a 15 mil","Alto",111,595.328978414284,18609.4557312925,"VIVIENDA",0.031990671141081
"607","4","De 2500 a 15 mil","Muy alto",27,453.51850045035,18902.9050481899,"VIVIENDA",0.0239920001340628
"608","4","Menos de 2500","Muy bajo",77,542.331310305173,19047.4487443694,"VIVIENDA",0.02847264836271
"609","4","Menos de 2500","Bajo",130,503.653710285311,18759.2368776674,"VIVIENDA",0.0268483048414888
"610","4","Menos de 2500","Medio",160,533.255592702947,18782.3253492993,"VIVIENDA",0.0283913510593533
"611","4","Menos de 2500","Alto",168,335.452708085696,18884.6961118706,"VIVIENDA",0.0177632039244113
"612","4","Menos de 2500","Muy alto",90,167.532689883359,18492.3561804703,"VIVIENDA",0.00905956430042642
"613","5","100 mil o más","Muy bajo",1218,1350.27687827995,22878.47655914,"VIVIENDA",0.0590195275804107
"614","5","100 mil o más","Bajo",114,1127.15352418027,22993.9451560455,"VIVIENDA",0.0490195795689251
"615","5","100 mil o más","Medio",39,1267.91742910922,22913.7135460674,"VIVIENDA",0.0553344365835814
"616","5","De 15 mil a 100 mil","Muy bajo",177,1221.28593533868,22979.8457172511,"VIVIENDA",0.0531459588704659
"617","5","De 15 mil a 100 mil","Bajo",155,1129.7001708214,22725.0001591237,"VIVIENDA",0.0497117783459218
"618","5","De 15 mil a 100 mil","Medio",111,1063.96186311748,22865.3593403675,"VIVIENDA",0.0465316047423369
"619","5","De 15 mil a 100 mil","Alto",65,893.852841702631,23237.2771017125,"VIVIENDA",0.0384663331159724
"620","5","De 15 mil a 100 mil","Muy alto",9,576.775542730095,22842.9040976059,"VIVIENDA",0.0252496591617939
"621","5","De 2500 a 15 mil","Muy bajo",61,790.493966235929,22953.2131125139,"VIVIENDA",0.0344393598561136
"622","5","De 2500 a 15 mil","Bajo",75,1004.32529221142,22992.1086753979,"VIVIENDA",0.04368130415485
"623","5","De 2500 a 15 mil","Medio",77,752.046686310147,23041.0946056033,"VIVIENDA",0.0326393645433519
"624","5","De 2500 a 15 mil","Alto",78,636.614538283213,23000.8360262877,"VIVIENDA",0.0276778869061814
"625","5","De 2500 a 15 mil","Muy alto",17,495.486819767628,22546.3276996424,"VIVIENDA",0.0219763868585786
"626","5","Menos de 2500","Muy bajo",86,695.671628337756,23091.2663493191,"VIVIENDA",0.0301270453431962
"627","5","Menos de 2500","Bajo",87,659.552778448596,22846.8497170179,"VIVIENDA",0.0288684342313206
"628","5","Menos de 2500","Medio",124,651.200148409416,22677.4680279826,"VIVIENDA",0.0287157343847151
"629","5","Menos de 2500","Alto",139,443.656357421804,22738.3568663145,"VIVIENDA",0.019511363993018
"630","5","Menos de 2500","Muy alto",54,226.377123680277,23182.0056755073,"VIVIENDA",0.00976520870752152
"631","6","100 mil o más","Muy bajo",1331,1413.9062215233,27862.3213204827,"VIVIENDA",0.0507461745652856
"632","6","100 mil o más","Bajo",103,1147.05326471324,27260.6492557842,"VIVIENDA",0.0420772540650279
"633","6","100 mil o más","Medio",46,1319.63664621893,27940.4203241701,"VIVIENDA",0.0472303791749822
"634","6","De 15 mil a 100 mil","Muy bajo",175,1392.03967881333,27843.4029110195,"VIVIENDA",0.0499953142675101
"635","6","De 15 mil a 100 mil","Bajo",150,1251.41164205623,27565.5432724353,"VIVIENDA",0.0453976774442027
"636","6","De 15 mil a 100 mil","Medio",114,1205.38544013506,27761.03878357,"VIVIENDA",0.0434200409261504
"637","6","De 15 mil a 100 mil","Alto",62,995.06071577192,27395.7493803309,"VIVIENDA",0.0363217191819668
"638","6","De 15 mil a 100 mil","Muy alto",4,658.407218620897,28256.2359330144,"VIVIENDA",0.0233013066631291
"639","6","De 2500 a 15 mil","Muy bajo",61,906.66015424763,27772.8114282316,"VIVIENDA",0.0326456022138973
"640","6","De 2500 a 15 mil","Bajo",80,1119.49744794819,27901.3130802853,"VIVIENDA",0.0401234681940189
"641","6","De 2500 a 15 mil","Medio",67,857.346528285543,27164.0365482373,"VIVIENDA",0.0315618235442691
"642","6","De 2500 a 15 mil","Alto",74,713.135111543522,27610.57326759,"VIVIENDA",0.0258283341179525
"643","6","De 2500 a 15 mil","Muy alto",20,569.156323369593,27570.6187911482,"VIVIENDA",0.0206435817665553
"644","6","Menos de 2500","Muy bajo",93,696.311387431661,27709.6714871489,"VIVIENDA",0.0251288214569629
"645","6","Menos de 2500","Bajo",68,641.581005167574,27933.7963819232,"VIVIENDA",0.0229679130038608
"646","6","Menos de 2500","Medio",94,647.857241882404,27871.2400949352,"VIVIENDA",0.0232446507466359
"647","6","Menos de 2500","Alto",90,433.705781808362,27715.249976999,"VIVIENDA",0.0156486332314627
"648","6","Menos de 2500","Muy alto",30,226.92650876726,28103.2329346105,"VIVIENDA",0.00807474746038165
"649","7","100 mil o más","Muy bajo",1483,1629.95763422215,34261.1826938121,"VIVIENDA",0.0475744707586097
"650","7","100 mil o más","Bajo",105,1314.14121631702,34417.6012215345,"VIVIENDA",0.0381822430871441
"651","7","100 mil o más","Medio",43,1516.23415874747,33914.1574247642,"VIVIENDA",0.0447080002536143
"652","7","De 15 mil a 100 mil","Muy bajo",224,1560.058789336,34291.4328051643,"VIVIENDA",0.045494126716719
"653","7","De 15 mil a 100 mil","Bajo",157,1393.7737515306,34466.3422290368,"VIVIENDA",0.040438690658517
"654","7","De 15 mil a 100 mil","Medio",98,1346.39189791852,34627.3263434596,"VIVIENDA",0.0388823521794319
"655","7","De 15 mil a 100 mil","Alto",62,1127.53450298013,33917.6377084172,"VIVIENDA",0.0332433087667633
"656","7","De 15 mil a 100 mil","Muy alto",3,710.133955954648,33025.9483703704,"VIVIENDA",0.0215023032189971
"657","7","De 2500 a 15 mil","Muy bajo",58,996.309538248581,34543.8271720453,"VIVIENDA",0.0288418979543427
"658","7","De 2500 a 15 mil","Bajo",75,1222.57526931708,34562.9261431757,"VIVIENDA",0.0353724468886867
"659","7","De 2500 a 15 mil","Medio",57,938.992989908211,34268.5896162515,"VIVIENDA",0.0274009814942283
"660","7","De 2500 a 15 mil","Alto",59,792.341653151645,33668.4658149794,"VIVIENDA",0.0235336429496329
"661","7","De 2500 a 15 mil","Muy alto",16,601.918469006307,34370.258410706,"VIVIENDA",0.0175127711236182
"662","7","Menos de 2500","Muy bajo",77,843.634448862488,34112.4284633449,"VIVIENDA",0.0247309994294017
"663","7","Menos de 2500","Bajo",61,772.511664355496,34567.490506992,"VIVIENDA",0.0223479243944318
"664","7","Menos de 2500","Medio",75,782.323405580535,34610.3919728008,"VIVIENDA",0.0226037141155563
"665","7","Menos de 2500","Alto",80,531.296468125678,34129.2538118102,"VIVIENDA",0.0155671867616932
"666","7","Menos de 2500","Muy alto",19,264.601550703828,33559.4843137255,"VIVIENDA",0.00788455353575288
"667","8","100 mil o más","Muy bajo",1479,1816.29756202805,43744.2975175058,"VIVIENDA",0.041520784767459
"668","8","100 mil o más","Bajo",81,1471.68832290723,42956.2823176583,"VIVIENDA",0.03426014178844
"669","8","100 mil o más","Medio",47,1688.53573874742,43681.8059041045,"VIVIENDA",0.0386553555604888
"670","8","De 15 mil a 100 mil","Muy bajo",198,1769.12861583633,43126.2536991928,"VIVIENDA",0.0410220796866815
"671","8","De 15 mil a 100 mil","Bajo",152,1588.45109290867,43351.3453136453,"VIVIENDA",0.0366413333061819
"672","8","De 15 mil a 100 mil","Medio",97,1525.89000844912,43142.214816271,"VIVIENDA",0.0353688380382742
"673","8","De 15 mil a 100 mil","Alto",41,1276.54259847699,44267.9002941786,"VIVIENDA",0.0288367550752089
"674","8","De 15 mil a 100 mil","Muy alto",4,803.789016961722,43702.4642583732,"VIVIENDA",0.0183923042007344
"675","8","De 2500 a 15 mil","Muy bajo",54,1142.33827865242,42255.3315949245,"VIVIENDA",0.0270341809077089
"676","8","De 2500 a 15 mil","Bajo",66,1408.76700701616,41249.5937066392,"VIVIENDA",0.0341522638267686
"677","8","De 2500 a 15 mil","Medio",60,1075.95990722602,42479.157042666,"VIVIENDA",0.0253291256732172
"678","8","De 2500 a 15 mil","Alto",48,906.984693500766,43838.3855080636,"VIVIENDA",0.0206892813909385
"679","8","De 2500 a 15 mil","Muy alto",9,688.844914437819,42302.7767595172,"VIVIENDA",0.0162836808173081
"680","8","Menos de 2500","Muy bajo",64,1043.55455573263,43580.4809483422,"VIVIENDA",0.0239454575310814
"681","8","Menos de 2500","Bajo",74,960.348854028029,42947.3186764055,"VIVIENDA",0.0223610899032825
"682","8","Menos de 2500","Medio",62,967.120243076146,42790.1859881599,"VIVIENDA",0.0226014498591745
"683","8","Menos de 2500","Alto",54,656.1223183513,42908.6577697827,"VIVIENDA",0.0152911405868621
"684","8","Menos de 2500","Muy alto",22,326.690558659615,42818.6274499482,"VIVIENDA",0.00762963640162198
"685","9","100 mil o más","Muy bajo",1631,2127.69333287056,59691.0573082088,"VIVIENDA",0.0356450937346347
"686","9","100 mil o más","Bajo",99,1683.24991682081,60475.0841048964,"VIVIENDA",0.0278337755413642
"687","9","100 mil o más","Medio",43,2024.47671631763,57820.67203756,"VIVIENDA",0.0350130263965548
